model,step,half_lambda_max,common_mode,tau
kicked_ising,59,0.0952349999342218,1.168453361438935,2.95
kicked_ising,60,0.08705071670746692,1.3231471316314156,3.0
kicked_ising,61,0.082473599831713,1.322261322974868,3.05
kicked_ising,62,0.08840294559224793,1.272959220940932,3.1
kicked_ising,63,0.09535581761088367,1.2731754720009714,3.15
kicked_ising,64,0.09427875105657355,1.212461319707681,3.2
kicked_ising,65,0.1009633622008781,1.2227844270595196,3.25
kicked_ising,66,0.10426650813856643,1.121388786802857,3.3
kicked_ising,67,0.11696665219803351,1.1312875022857378,3.35
kicked_ising,68,0.1302428182425889,1.0177582695577014,3.4
kicked_ising,69,0.1413057429313715,0.938679496747696,3.45
kicked_ising,70,0.1464082692043446,0.9281149636112087,3.5
kicked_ising,71,0.15681424644546102,0.9708130063661515,3.55
kicked_ising,72,0.15934852625988913,0.9576756416898426,3.6
kicked_ising,73,0.15036072667202527,0.9366090879145814,3.65
kicked_ising,74,0.14613835248986354,0.9778113345615239,3.7
kicked_ising,75,0.14009028785096136,1.027832567998848,3.75
kicked_ising,76,0.1249278905411285,0.9583904426833775,3.8
kicked_ising,77,0.11674091782873144,1.0367373576593937,3.85
kicked_ising,78,0.10259002139165832,1.0747603610498064,3.9
kicked_ising,79,0.09660599331377116,1.1516422573755007,3.95
kicked_ising,80,0.08992528053668018,1.141342737638447,4.0
qca,0,0.9999999999999958,,0.0
qca,1,0.7584787622072671,-3.6844601292595245,0.05
qca,2,0.5820097611340029,-3.2795656910738007,0.1
qca,3,0.4964500628932438,-2.8073028181589157,0.1499999999999999
qca,4,0.4430402391071411,-2.4052996712912305,0.2
qca,5,0.3876941153484781,-2.3464954812745873,0.25
qca,6,0.3351304261077267,-2.069961342996601,0.2999999999999999
qca,7,0.3198916873859431,-1.6864521596590218,0.3499999999999999
qca,8,0.29318624384998443,-1.5023321735475406,0.4
qca,9,0.2581998502610668,-1.2991384674230009,0.45
qca,10,0.24698541117142392,-0.11259387800726002,0.5
qca,11,0.23458986668844029,-0.012161693442020413,0.55
qca,12,0.20753013663209294,-0.0596815727800147,0.5999999999999999
qca,13,0.19336577216350356,-0.8619794379031289,0.65
qca,14,0.17938612009994387,-0.9097618258455791,0.6999999999999998
qca,15,0.16300654756110092,0.24332771976749337,0.75
qca,16,0.15375888666659304,-0.717402648293566,0.8
qca,17,0.14324841879328082,-0.6757167827294646,0.8499999999999999
qca,18,0.1348752658622142,-0.7677890758744083,0.9
qca,19,0.13238190452830803,-0.6399061101724339,0.95
qca,20,0.1216609523109991,-0.7085098065075588,1.0
qca,21,0.11506469594766458,-0.5423692462382932,1.05
